low,med_pt_est_x,med_pt_est_x_wgt,bs_intercept,evd_hom,evd_symm_total_intercept,bin_total_intercept
-5500,-3690.337718,-4008.2788,33.72996231,5.081422887,37.14689,40.83556
-3000,-1190.337718,-1514.075597,13.90964034,5.060030452,15.37249,16.74624
-2100,-290.3377,-616.1589,7.464241,5.059343,8.317918,8.887108
-1700,107.343,-193.2504,5.356308,5.152932,6.100443,6.366821
-1300,507.3333,173.1831,4.759878,5.039827,5.444482,5.51633
-900,907.3333,610.9499,6.164647,5.1551,7.494542,8.001147
-500,1307.333325,1003.353178,8.631136237,5.148430838,10.28659,11.16113
900,2707.333,2410.286,19.22998,5.1671,22.1073,24.32703
2000,3807.333,3511.891,27.99235,5.182414,31.77263,34.98895
3000,4807.333,4492.258,36.03735,5.091557,40.46031,44.52938
